using HTTP for the container environment
         6795529 function calls (6512220 primitive calls) in 58.053 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(append)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
       58    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(delete)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1002(_gcd_import)
2785/2492    0.003    0.000    0.176    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1516    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      710    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      710    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
      710    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1516    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      706    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      806    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    903/8    0.001    0.000    0.420    0.052 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6053    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      705    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      583    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1234    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:376(cached)
     1363    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      674    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
    27/22    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap>:406(spec_from_loader)
      674    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  674/672    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      706    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:613(_load_backward_compatible)
    678/8    0.003    0.000    0.421    0.053 <frozen importlib._bootstrap>:650(_load_unlocked)
      701    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:725(find_spec)
